time,flux
144.57024102576543,48655.44
144.59067512647016,48673.945
144.6111094269363,48669.723
144.63154362740897,48671.863
144.65197772764077,48671.195
144.67241192764777,48669.43
144.69284622765554,48682.402
144.71328032742167,48659.69
144.733714526963,48664.125
144.75414882627229,48670.082
144.77458292557276,48673.965
144.79501712488127,48671.918
144.81545132372412,48683.562
144.83588562256045,48676.027
144.8563197211697,48684.66
144.87675391977973,48680.26
144.89718811814964,48671.94
144.917622316294,48681.695
144.93805651420553,48686.99
144.95849071210978,48667.37
144.97892500978924,48658.957
144.99935910746717,48670.836
145.01979330490576,48688.938
145.0402275021188,48662.96
145.060661699099,48668.156
145.08109589607193,48671.594
145.1015300928193,48667.246
145.1219643893346,48663.79
145.1423984858411,48676.27
145.16283268212283,48667.93
145.18326677817095,48670.242
145.2037010742133,48654.797
145.22413527002936,48672.766
145.24456936561182,48679.574
145.26500366118853,48692.62
145.28543785653892,48662.27
145.30587205165648,48668.332
145.32630614677328,48672.08
145.3467404416515,48658.15
145.3671746363034,48663.27
145.38760873094725,48668.906
145.40804302513425,48668.25
145.42847721932048,48674.59
145.44891131350596,48681.832
145.4693455074521,48669.324
145.48977980117343,48669.31
145.51021389465313,48669.105
145.53064808814088,48671.637
145.5510822813958,48670.5
145.57151657441136,48682.547
145.59195066743268,48666.605
145.61238486022194,48678.01
145.63281915277184,48674.375
145.6532532453275,48667.055
145.6736874376511,48676.504
145.6941215297411,48657.637
145.71455582182534,48670.62
145.73499001368327,48673.203
145.7554242053011,48673.527
145.77585839669337,48668.246
145.79629258808563,48686.97
145.81672677924507,48668.758
145.83716087039647,48677.98
145.857595161091,48666.777
145.8780293517775,48672.426
145.89846344247053,48673.523
145.9188977326994,48665.594
145.93933192292752,48648.7
145.9597660131476,48669.742
145.98020020291005,48676.01
146.000634492666,48677.82
146.02106868219562,48673.016
146.04150277172448,48661.336
146.06193706102204,48669.863
146.08237125007872,48664.504
146.1028053389091,48662.387
146.12323952774022,48661.65
146.143673816332,48669.285
146.16410790469672,48679.59
146.1845420930622,48668.055
146.20497628118756,48661.098
146.22541046908736,48671.535
146.24584465698717,48676.88
146.26627884464688,48660.75
146.28671303208102,48671.67
146.30714721928234,48668.18
146.3480154934441,48671.688
146.36844978040608,48675.293
146.3888839669089,48669.86
146.40931805341097,48670.375
146.42975233991456,48674.97
146.45018652594445,48673.055
146.47062061198085,48667.66
146.4910548980115,48665.367
146.511489083583,48673.883
146.5319232691545,48668.824
146.55235735449241,48665.953
146.57279163959174,48681.74
146.59322582469758,48668.367
146.61366000956332,48676.027
146.63409409420274,48679.227
146.65452837884368,48667.246
146.67496256325103,48671.94
146.6953966474175,48667.586
146.7158309315928,48676.523
146.7362651155272,48674.31
146.75669929923606,48666.492
146.77713338271133,48675.91
146.79756766618812,48662.688
146.81800184942404,48662.516
146.83843593243364,48678.473
146.858870115444,48671.906
146.87930439821503,48675.02
146.89973848075897,48685.176
146.92017266307084,48671.176
146.9406069453762,48666.52
146.96104102745448,48684.83
146.98147520953353,48669.07
147.00190939113963,48680.84
147.02234357275302,48667.93
147.0427777543664,48661.797
147.06321193550684,48662.74
147.08364621665532,48671.258
147.10408029756945,48661.355
147.12451447847707,48669.266
147.14494855892553,48663.484
147.16538283937552,48669.67
147.18581701981748,48666.414
147.20625109980028,48670.055
147.2266853797846,48671.164
147.24711955952807,48677.113
147.2675537392788,48668.5
147.28798781879595,48676.99
147.30842209807452,48672.258
147.32885627712676,48667.414
147.34929035617824,48660.97
147.36972453499038,48677.54
147.39015881357773,48667.375
147.41059289216355,48668.91
147.4310270702772,48673.19
147.4514613486317,48675.77
147.47189542651904,48667.895
147.49232960439986,48673.375
147.51276378205512,48675.473
147.5331980594783,48663.2
147.55363213665987,48683.15
147.57406631384947,48683.215
147.594500590807,48673.023
147.61493466775573,48680.133
147.63536884447967,48677.824
147.65580292097002,48677.258
147.67623719722178,48672.957
147.69667137324723,48658.582
147.7171054492719,48665.453
147.737539725058,48662.023
147.75797390085063,48666.24
147.77840807617758,48669.344
147.79884215150378,48678.133
147.81927642682422,48670.59
147.8397106016855,48666.414
147.86014467653877,48672.734
147.88057885116723,48670.52
147.92144719995122,48669.12
147.94188137411402,48674.86
147.96231564827758,48692.664
147.98274972196668,48677.168
148.00318389566382,48682.5
148.02361806912813,48661.84
148.04405234258593,48645.438
148.06448641558381,48654.91
148.08492058858246,48656.156
148.10535486134177,48660.0
148.12578893410682,48675.31
148.1462231066398,48671.223
148.1666572789327,48683.977
148.18709145100001,48677.035
148.20752562306734,48669.023
148.22795979489456,48671.68
148.24839406649699,48674.152
148.26882813786506,48679.4
148.28926230922661,48670.633
148.30969648036262,48672.17
148.33013065149862,48682.016
148.3505648221617,48676.516
148.37099899283203,48661.74
148.39143306326878,48676.93
148.41186733369977,48663.152
148.43230150367162,48679.508
148.45273567364347,48668.17
148.47316984360805,48679.63
148.49360401311424,48678.79
148.51403818262042,48676.617
148.53447225189302,48668.527
148.55490652092703,48683.727
148.57534068996756,48669.332
148.59577475876722,48663.152
148.61620902734285,48663.777
148.6366431959177,48675.203
148.65707726402616,48676.41
148.67751143212809,48673.43
148.69794570023805,48680.88
148.71837976787356,48655.82
148.7388139355171,48677.992
148.75924820292857,48671.07
